,iso_code,location,date,total_cases,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,people_vaccinated_per_hundred,population,gdp_per_capita
179,SOM,Somalia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,16359500.0,0.0
180,SPM,Saint Pierre and Miquelon,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,5771.0,0.0
181,SRB,Serbia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,6871547.0,14048.880999999996
182,SSD,South Sudan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,11381377.0,1569.8879999999992
183,STP,Sao Tome and Principe,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,223364.0,3052.7140000000027
184,SUR,Suriname,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,591798.0,13767.119000000004
185,SVK,Slovakia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,5449270.0,30155.152000000002
186,SVN,Slovenia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2078723.0,31400.83999999999
187,SWE,Sweden,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,10160159.0,46949.28300000003
188,SWZ,Eswatini,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1172369.0,7738.975000000004
189,SXM,Sint Maarten (Dutch part),2020-01,0.0,0.0,0.0,0.0,0.0,0.0,43421.0,36327.231999999996
190,SYC,Seychelles,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,98910.0,26382.287000000008
191,SYR,Syria,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,18275704.0,0.0
192,TCA,Turks and Caicos Islands,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,39226.0,0.0
193,TCD,Chad,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,16914985.0,1768.1529999999989
194,TGO,Togo,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,8478242.0,1429.8129999999999
195,THA,Thailand,2020-01,3.096774193548387,0.0,0.0,0.044225806451612906,0.002225806451612903,0.0,69950844.0,16277.670999999988
196,TJK,Tajikistan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,9749625.0,2896.913
197,TKL,Tokelau,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0
198,TKM,Turkmenistan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,6117933.0,16389.02299999999
199,TLS,Timor,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1343875.0,6570.102000000005
200,TON,Tonga,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,106759.0,5425.621000000003
201,TTO,Trinidad and Tobago,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1403374.0,28763.071
202,TUN,Tunisia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,11935764.0,10849.297
203,TUR,Turkey,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,85042736.0,25129.34100000001
204,TUV,Tuvalu,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,11925.0,3575.1040000000025
205,TWN,Taiwan,2020-01,1.6774193548387097,0.0,0.0,0.07032258064516128,0.0042580645161290325,0.0,23855008.0,0.0
206,TZA,Tanzania,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,61498438.0,2683.3040000000024
207,UGA,Uganda,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,47123533.0,1697.7070000000003
208,UKR,Ukraine,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,43466822.0,7894.393000000004
209,URY,Uruguay,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,3485152.0,20551.40899999999
210,USA,United States,2020-01,1.3225806451612903,0.0,0.0,0.003967741935483871,0.00022580645161290324,0.0,332915074.0,54225.445999999996
211,UZB,Uzbekistan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,33935765.0,6253.103999999999
212,VAT,Vatican,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,812.0,0.0
213,VCT,Saint Vincent and the Grenadines,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,111269.0,10727.146000000006
214,VEN,Venezuela,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,28704947.0,16745.022
215,VGB,British Virgin Islands,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,30423.0,0.0
216,VNM,Vietnam,2020-01,0.5806451612903226,0.0,0.0,0.005806451612903225,9.67741935483871e-05,0.0,98168829.0,6171.883999999998
217,VUT,Vanuatu,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,314464.0,2921.909
218,WLF,Wallis and Futuna,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,11094.0,0.0
219,WSM,Samoa,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,200144.0,6021.557
220,YEM,Yemen,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,30490639.0,1479.1469999999997
221,ZAF,South Africa,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,60041996.0,12294.875999999995
222,ZMB,Zambia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,18920657.0,3689.2510000000007
223,ZWE,Zimbabwe,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,15092171.0,1899.775000000001
0,ABW,Aruba,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,107195.0,35973.78099999999
1,AFG,Afghanistan,2020-02,1.0344827586206897,0.0,0.0,0.02606896551724138,0.0,0.0,39835428.0,1803.9870000000008
2,AGO,Angola,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,33933611.0,5819.494999999998
3,AIA,Anguilla,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,15125.0,0.0
4,ALB,Albania,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,2872934.0,11803.431
5,AND,Andorra,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,77354.0,0.0
6,ARE,United Arab Emirates,2020-02,9.241379310344827,0.0,0.0,0.924965517241379,0.03882758620689657,0.0,9991083.0,67293.483
7,ARG,Argentina,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,45605823.0,18933.907000000003
8,ARM,Armenia,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,2968128.0,8787.579999999994
9,ATG,Antigua and Barbuda,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,98728.0,21490.94299999998
10,AUS,Australia,2020-02,14.862068965517242,0.0,0.0,0.5765172413793106,0.014724137931034486,0.0,25788217.0,44648.709999999985
11,AUT,Austria,2020-02,0.6551724137931034,0.0,0.0,0.07244827586206896,0.0,0.0,9043072.0,45436.685999999994
12,AZE,Azerbaijan,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,10223344.0,15847.418999999996
13,BDI,Burundi,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,12255429.0,702.2249999999999
14,BEL,Belgium,2020-02,0.896551724137931,0.0,0.0,0.07710344827586207,0.00041379310344827585,0.0,11632334.0,42658.57599999998
15,BEN,Benin,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,12451031.0,2064.235999999999
